CM,132,MAJ,EE
EE,211,MAJ,EE
EE,221,MAJ,EE
EE,261,MAJ,EE
EE,264,MAJ,EE
EE,311,MAJ,EE
EE,321,MAJ,EE
EE,324,MAJ,EE
EE,331,MAJ,EE
EE,341,MAJ,EE
EE,381,MAJ,EE
EE,412,MAJ,EE
ES,110,MAJ,EE
ES,250,MAJ,EE
FY,100,MAJ,EE
MA,131,MAJ,EE
MA,132,MAJ,EE
MA,231,MAJ,EE
MA,232,MAJ,EE
PH,131,MAJ,EE
PH,132,MAJ,EE
STAT,383,MAJ,EE
UNIV,190,MAJ,EE
MA,131,MAJ,CS
MA,132,MAJ,CS
MA,211,MAJ,CS
CS,141,MAJ,CS
CS,142,MAJ,CS
CS,241,MAJ,CS
CS,242,MAJ,CS
CS,341,MAJ,CS
CS,344,MAJ,CS
CS,345,MAJ,CS
CS,350,MAJ,CS
CS,444,MAJ,CS
FY,100,MAJ,CS
UNIV,190,MAJ,CS
CS,142,MAJ,MA
FY,100,MAJ,MA
MA,131,MAJ,MA
MA,132,MAJ,MA
MA,200,MAJ,MA
MA,211,MAJ,MA
MA,231,MAJ,MA
MA,232,MAJ,MA
MA,311,MAJ,MA
MA,321,MAJ,MA
MA,322,MAJ,MA
MA,339,MAJ,MA
PH,131,MAJ,MA
PH,132,MAJ,MA
STAT,383,MAJ,MA
UNIV,190,MAJ,MA
CM ,132,MAJ,CE
PH,131,MAJ,CE
PH,132,MAJ,CE
EE,221,MAJ,CE
EE,261,MAJ,CE
EE,316,MAJ,CE
EE,321,MAJ,CE
EE,341,MAJ,CE
EE,360,MAJ,CE
EE,361,MAJ,CE
EE,363,MAJ,CE
EE,365,MAJ,CE
EE,416,MAJ,CE
EE,462,MAJ,CE
EE,464,MAJ,CE
EE,466,MAJ,CE
ES,110,MAJ,CE
ES,250,MAJ,CE
FY,100,MAJ,CE
MA,131,MAJ,CE
MA,132,MAJ,CE
MA,211,MAJ,CE
MA,231,MAJ,CE
MA,232,MAJ,CE
STAT,383,MAJ,CE
UNIV,190,MAJ,CE
